type,id,parent_id,text
comment,UgzetUbxUSheOazR5Il4AaABAg,,"Klo benar2 ijasah asli apa rugi nya si mulyono dan si wereng coklat ijasah nya di tes di labfor luar negeri ,,,,begini lah klo urusan dgn orang yg rakus kekuasaan,,,,salam akal sehat"
comment,Ugwp1oaVjJqyuMZXnVR4AaABAg,,para perusuh akan tetap rusuh... selamanya. penjarakan segera
comment,Ugzm3Fl3pioWbqwZYqZ4AaABAg,,orang gangguan jiwa gini  di tampilkan di Tv teerus. roy roy..
comment,UgzOz7HHXTt-r7bsjrN4AaABAg,,Baju orange menunggu😂
comment,UgzKy-Bh4CROgPPeJSF4AaABAg,,Yang asli mana?
comment,UgzdRmc0yrUIP0N2-El4AaABAg,,Puasss banget liat gerombolan 24+16 tantrum kelojotan di sini... 🤣🤣🤣🤣🤣🤣🤣🤣🤣
comment,Ugx8f8kysHpUgxEvjzt4AaABAg,,"mukidi emg sadis alih2 sekedar menunjukan ijazah malah memilih melaporkan dan memenjarakan rakyat, lanjut pengadilan agar tahu Ending dr sebuah film Ijazah Palsu"
comment,UgzR7Ye2CTTlJkgPFy14AaABAg,,Udah ngakak ngakak ketawa ternyata salah 😢
comment,UgyzqJ8YyETp4V7OzPx4AaABAg,,Kayak nya ada yang akan mendapat makan gratis selain anak anak sekolah
comment,UgyBQuGjixenyK__J414AaABAg,,"Tanpa bermaksud mengesampingkan case atau kasus dugaan terkait Asli tidaknya terkait ijazah Pakde, dan Kasus Konstitusi si Paman atau kasus lain., Tapi inget, <br>menilai case jangan karena ikut&#39;2an atau sekedar karena memang suka-ga suka/dukung ga mendukung., <br><br>dan untuk case ini., Terkait Ijazah, Lebih ke Sah atau tidak Sah artinya Lebih ke Lembaga&#39;2 institusi terkait, bukan sekedar Palsu atau tidak Palsu yang lebih berarti ke si Objek Personal, jadi berbeda..., <br><br>Jadi Beneran deh untuk heboh episode panjang kali ini, ber&#39;awalnya Posting lalu ber&#39;inisiatif pembuktian secara personal/pribadi dengan Narasi selalu Mengatasnamakan selalu &quot;Semua Masyarakat&quot; walaupun tidak ada yang salah/hak bersuara berpendapat tapi ketika statement itu di Publish jadi konsumsi &amp; issue Publik, dapat respon malah Cengengesan yang jadi karakter sifat Aslinya Sosok&#39;2 Mahkluk&#39;2 itu yang masih harus dipertanggungjawabkan  <br>Atau gambaran gampangnya<br> &quot;Sosok&#39;2 Mahkluk&#39;2 yang Sering/Suka Ber&#39;Masalah yang memang sering/Suka Mempermasalahkan yang diduga dianggapnya Ber&#39;Masalah...&quot;   walaupun Ahli sekalipun atau siapapun dia, tapi track recordnya jadi cerminan Karakter untuk tau tu dari sini Message&#39;nya Jelas bgt Niat&#39;nya koq., <br>Niat Ber&#39;Inisiatif Pembuktian secara berlebihan membabiButa Hanya untuk seorang tokoh Sejak Lama yang tidak diSukai., Merasa l Yakin, memanfaatkan moment, klaim, dapat Respon Publik dan mengatasnamakan &quot;semua masyarakat&quot;, lalu tinggal Cengengesan, <br>Tapi Sekali lagi Lupa., apa kabarnya track record &amp; karakter yang jadi maksud Mahkluk&#39;2 itu., <br>apa hubungannya, Ya track Recordnya Karakter Personalnya itu sendiri seperti yang dimaksud jelas jadi cerminan., Kebebasan itu bukan berarti Bebas yang kebablasan,bukan berarti ugal-ugalan, Klaim statement semua harus sesuai Versi kelompok Sosok&#39;2.., Semua tetap harus ada etika dan Adab apalagi klaim Publik menyudutkan secara Personal yang wajib dipertanggungjawabkan dengan jalur&#39;nya., suka tidak suka/Percaya atau tidak percaya memang seperti itu alurnya., bukan koar-koar statement sana sini dapat respon tinggal cengengesan, ketika ada hak Siapapun yang merasa dirugikan, melaporkan, lalu Ber&#39;Statemet Kriminalisasi karena.., <br>Apa sudah tobat mengatakan &quot;Semua Masyarakat&quot; dengan lupa track recordnya yang selalu Ber&#39;Masalah, seperti saat ga hafal lagu Indonesia raya, menyebarkan meme stupa, kasus Kemenpora...Hmmm..."
